Airport_A,Airport_B,Count,Month,A_IATA,A_Name,A_City,A_State,A_Country,A_Elevation,A_Lat,A_Lon,A_TZ,B_IATA,B_Name,B_City,B_State,B_Country,B_Elevation,B_Lat,B_Lon,B_TZ
KIAD,KIAD,1587,2025-09,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York,IAD,Washington Dulles International Airport,Dulles,Virginia,US,312,38.94449997,-77.45580292,America/New_York
KORD,KTEB,187,2025-09,ORD,Chicago O'Hare International Airport,Chicago,Illinois,US,672,41.97859955,-87.90480042,America/Chicago,TEB,Teterboro Airport,Teterboro,New Jersey,US,9,40.8501014709,-74.060798645,America/New_York
KBOS,KHHR,679,2025-09,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,20,42.36429977,-71.00520325,America/New_York,HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,California,US,66,33.9227981567,-118.3349990845,America/Los_Angeles
KATL,KSNA,203,2025-09,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,Georgia,US,1026,33.6366996765,-84.4281005859,America/New_York,SNA,John Wayne Airport-Orange County Airport,Santa Ana,California,US,56,33.67570114,-117.8679962,America/Los_Angeles
KDCA,KFLL,275,2025-09,DCA,Ronald Reagan Washington National Airport,Washington,Virginia,US,15,38.8521003723,-77.0376968384,America/New_York,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,Florida,US,9,26.072599411,-80.1527023315,America/New_York
KMSP,KPHL,312,2025-09,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,Minnesota,US,841,44.8819999695,-93.2218017578,America/Chicago,PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,US,36,39.8718986511,-75.2410964966,America/New_York
KDTW,KPHL,516,2025-09,DTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,US,645,42.2123985291,-83.3534011841,America/Detroit,PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,US,36,39.8718986511,-75.2410964966,America/New_York
KDCA,KMCO,674,2025-09,DCA,Ronald Reagan Washington National Airport,Washington,Virginia,US,15,38.8521003723,-77.0376968384,America/New_York,MCO,Orlando International Airport,Orlando,Florida,US,96,28.4293994904,-81.3089981079,America/New_York
KDAB,KDAB,12269,2025-09,DAB,Daytona Beach International Airport,Daytona Beach,Florida,US,34,29.1798992157,-81.0580978394,America/New_York,DAB,Daytona Beach International Airport,Daytona Beach,Florida,US,34,29.1798992157,-81.0580978394,America/New_York
KIAH,KNZY,271,2025-09,IAH,George Bush Intercontinental Houston Airport,Houston,Texas,US,97,29.9843997955,-95.3414001465,America/Chicago,NZY,North Island Naval Air Station-Halsey Field,San Diego,California,US,26,32.69919968,-117.2149963,America/Los_Angeles
KLAS,KSFO,585,2025-09,LAS,Harry Reid International Airport,Las Vegas,Nevada,US,2181,36.08010101,-115.1520004,America/Los_Angeles,SFO,San Francisco International Airport,San Francisco,California,US,13,37.6189994812,-122.375,America/Los_Angeles
KBWI,KSFO,175,2025-09,BWI,Baltimore/Washington International Thurgood Marshal Airport,Baltimore,Maryland,US,146,39.17539978,-76.66829681,America/New_York,SFO,San Francisco International Airport,San Francisco,California,US,13,37.6189994812,-122.375,America/Los_Angeles
KAUS,KEWR,310,2025-09,AUS,Austin Bergstrom International Airport,Austin,Texas,US,542,30.1944999695,-97.6698989868,America/Chicago,EWR,Newark Liberty International Airport,Newark,New Jersey,US,18,40.6925010681,-74.1687011719,America/New_York
KDFW,LIRF,59,2025-09,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,Texas,US,607,32.8968009949,-97.0380020142,America/Chicago,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.8045005798,12.2508001328,Europe/Rome
